label,controller,delay_frames,ego_speed_kmh,lead_speed_kmh,mu,headway_thw,headway_d,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt
proposed,proposed,0,40.0,40.0,0.85,1.5,16.666666666666664,False,vehicle.ue4.audi.tt,0.0,8.92490351418854,1.4978989383190238,37.41658734701361,2.5834126529863894,8.338500000000018,0.0,4.894690617894768,5.610379576220253,8.3385,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,40.0,40.0,0.4,1.5,16.666666666666664,False,vehicle.ue4.audi.tt,0.0,0.0,1.6350227773608492,28.19659092310946,11.803409076890537,3.924000000000003,0.0,4.9335403492961865,5.339216118426095,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,40.0,40.0,0.85,2.0,22.22222222222222,True,,0.9787410214319259,6.835319143198157,1.5352075693094698,40.0,0.0,8.3385,12.093549728393555,5.746363019271489,4.646139043398756,8.3385,True,AVOIDED
proposed,proposed,0,40.0,40.0,0.4,2.0,22.22222222222222,False,vehicle.ue4.audi.tt,0.0,0.0,1.6466820579698962,30.693706294651918,9.306293705348084,3.924000000000003,0.0,4.900303038887395,4.461548951861006,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,40.0,40.0,0.85,2.5,27.77777777777778,True,,1.4725434958939632,5.219126710515103,1.517171235020837,40.0,0.0,8.3385,13.846500396728516,6.240394371748455,3.970144486766125,8.3385,True,AVOIDED
proposed,proposed,0,40.0,40.0,0.4,2.5,27.77777777777778,False,vehicle.ue4.audi.tt,0.0,0.0,1.7233232145391437,35.38317577083746,4.616824229162541,3.924000000000003,0.0,4.89838071952262,3.7017406674007964,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,50.0,50.0,0.85,1.0,13.88888888888889,False,vehicle.ue4.audi.tt,0.0,0.0,1.5396789646693683,36.66377224145344,13.336227758546565,8.338500000000018,0.0,4.898197431135843,7.339271753267539,8.3385,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,50.0,50.0,0.4,1.0,13.88888888888889,False,vehicle.ue4.audi.tt,0.0,0.0,1.7164911934183178,30.041764113443694,19.958235886556306,3.9239999999999853,0.0,4.896302886050009,6.96504338213326,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,50.0,50.0,0.85,1.5,20.833333333333336,False,vehicle.ue4.audi.tt,0.0,0.0,1.5366633997877233,40.20938745174117,9.790612548258828,8.338500000000018,0.0,4.910530580327268,6.602333366155927,8.3385,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,50.0,50.0,0.4,1.5,20.833333333333336,False,vehicle.ue4.audi.tt,0.0,0.0,1.8005841024339466,34.00823884526677,15.991761154733235,3.9239999999999853,0.0,4.964412064007339,6.028715698443331,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
