label,controller,delay_frames,ego_speed_kmh,mu,trigger_d,dart_speed_kmh,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt,noise_sigma_m,noise_sigma_vr,dropout_p,dropout_mode,test_mode,seed
baseline_nm0.5,baseline,0,40.0,0.85,25.0,20.0,True,,2.074333207968305,3.7961811701049575,1.6267460622230567,40.0,0.0,8.3385,16.634618759155273,5.748515406935432,3.058692029747994,8.3385,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960021
baseline_nm0.5,baseline,0,40.0,0.85,30.0,20.0,True,,0.7296843913079281,7.866816028342706,1.0491368030451966,40.0,0.0,8.338500000000018,11.355693817138672,4.403767487520606,5.008331380756813,8.3385,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960022
baseline_nm0.5,baseline,0,40.0,0.85,35.0,20.0,True,,1.7188352281545418,4.101050150327975,1.5394874871753652,40.0,0.0,8.3385,15.886457443237305,5.3929145195829875,3.448934301588219,8.3385,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960023
baseline_nm0.5,baseline,0,40.0,0.85,40.0,20.0,True,,1.5812645941922856,4.037136743979588,1.5928784294129137,40.0,0.0,8.3385,16.023218154907227,5.255408709153902,3.4611625695600736,8.3385,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960024
baseline_nm0.5,baseline,0,40.0,0.4,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.2518607036226785,26.469263571595334,13.530736428404664,3.924000000000003,0.0,3.8296674548522973,3.9603839026224663,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.5,0.0,0.0,freeze,noise,12960025
baseline_nm0.5,baseline,0,40.0,0.4,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.6838269796147827,29.039618709450096,10.960381290549904,3.924000000000003,0.0,3.827063887634461,2.9670315408161603,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.5,0.0,0.0,freeze,noise,12960026
baseline_nm0.5,baseline,0,40.0,0.4,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.0489616162358588,25.629776246873867,14.370223753126133,3.924000000000003,0.0,3.826956173110845,5.00778443697093,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.5,0.0,0.0,freeze,noise,12960027
baseline_nm0.5,baseline,0,40.0,0.4,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5411062708168373,28.346897877851145,11.653102122148855,3.924000000000003,0.0,3.834033690286466,3.448850093547056,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.5,0.0,0.0,freeze,noise,12960028
baseline_nm0.5,baseline,0,40.0,0.4,40.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5463949261776495,27.943508413945075,12.056491586054923,3.924000000000003,0.0,3.8220196018574737,3.5720722233306628,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.5,0.0,0.0,freeze,noise,12960029
baseline_nm0.5,baseline,0,50.0,0.85,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.0283507624270962,38.78871971412825,11.211280285871755,8.3385,0.0,3.8680179035142714,6.251445427884491,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.5,0.0,0.0,freeze,noise,12960030
baseline_nm0.5,baseline,0,50.0,0.85,25.0,20.0,True,,0.5627032169101511,7.019812804665433,1.3761703297458985,50.0,0.0,8.338500000000018,18.553720474243164,4.23683586691242,4.67326940838413,8.3385,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960031
baseline_nm0.5,baseline,0,50.0,0.85,30.0,20.0,True,,1.453768358239075,5.425999226371204,1.5915557582378868,50.0,0.0,8.338500000000018,21.113582611083984,5.128072545536896,4.0496133296805565,8.3385,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960032
baseline_nm0.5,baseline,0,50.0,0.85,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.0049640659373305,40.414044211306376,9.585955788693623,8.338500000000018,0.0,3.8209855844889145,6.639201261619354,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.5,0.0,0.0,freeze,noise,12960033
baseline_nm0.5,baseline,0,50.0,0.85,40.0,20.0,True,,0.2573145843335678,0.0,1.3506644225766309,50.0,0.0,8.3385,18.858976364135742,3.931397818933599,4.971094039791331,8.3385,True,AVOIDED,0.5,0.0,0.0,freeze,noise,12960034
